Driver,Team,Q1,Q2,Q3,Start,Finish,Track,Rain,D_Elo,T_Elo,Race_Id
sainz,renault,73.324,73.032,72.692,8.0,12.0,German Grand Prix,True,1214.16,1887.55,10
vandoorne,mclaren,74.401,nan,nan,19.0,13.0,German Grand Prix,True,1231.09,1873.19,10
gasly,toro_rosso,73.749,nan,nan,16.0,14.0,German Grand Prix,True,1205.21,1838.58,10
leclerc,sauber,73.077,72.995,72.717,9.0,15.0,German Grand Prix,True,1220.9,1855.27,10
alonso,mclaren,73.614,73.657,nan,11.0,16.0,German Grand Prix,True,1310.04,1865.22,10
stroll,williams,74.206,nan,nan,18.0,nan,German Grand Prix,True,1222.36,1827.55,10
vettel,ferrari,72.538,72.505,71.212,1.0,nan,German Grand Prix,True,1287.56,1954.27,10
sirotkin,williams,73.708,73.702,nan,12.0,nan,German Grand Prix,True,1208.19,1820.59,10
ricciardo,red_bull,73.318,nan,nan,20.0,nan,German Grand Prix,True,1266.81,1920.07,10
hamilton,mercedes,77.419,91.242,95.658,1.0,1.0,Hungarian Grand Prix,False,1339.16,2016.15,11
vettel,ferrari,76.666,88.636,96.21,4.0,2.0,Hungarian Grand Prix,False,1290.52,1956.49,11
raikkonen,ferrari,77.526,92.762,96.186,3.0,3.0,Hungarian Grand Prix,False,1297.22,1957.41,11
ricciardo,red_bull,78.54,96.442,nan,12.0,4.0,Hungarian Grand Prix,False,1275.91,1926.9,11
bottas,mercedes,77.123,92.081,95.918,2.0,5.0,Hungarian Grand Prix,False,1235.91,2015.04,11
gasly,toro_rosso,78.577,91.286,97.591,6.0,6.0,Hungarian Grand Prix,False,1205.64,1838.9,11
kevin_magnussen,haas,78.314,92.968,99.858,9.0,7.0,Hungarian Grand Prix,False,1234.19,1855.37,11
alonso,mclaren,78.208,95.214,nan,11.0,8.0,Hungarian Grand Prix,False,1313.82,1868.05,11
sainz,renault,77.829,90.771,96.743,5.0,9.0,Hungarian Grand Prix,False,1210.54,1884.84,11
grosjean,haas,77.901,93.65,100.593,10.0,10.0,Hungarian Grand Prix,False,1200.76,1855.76,11
brendon_hartley,toro_rosso,78.429,92.59,98.128,8.0,11.0,Hungarian Grand Prix,False,1203.98,1836.81,11
hulkenberg,renault,77.905,96.506,nan,13.0,12.0,Hungarian Grand Prix,False,1233.11,1886.15,11
ocon,force_india,79.142,nan,nan,18.0,13.0,Hungarian Grand Prix,False,1223.09,1901.47,11
perez,force_india,79.2,nan,nan,19.0,14.0,Hungarian Grand Prix,False,1241.71,1904.53,11
ericsson,sauber,78.641,97.075,nan,14.0,15.0,Hungarian Grand Prix,False,1244.72,1854.95,11
sirotkin,williams,79.301,nan,nan,20.0,16.0,Hungarian Grand Prix,False,1210.58,1822.38,11
stroll,williams,78.56,nan,nan,15.0,17.0,Hungarian Grand Prix,False,1220.71,1821.14,11
vandoorne,mclaren,78.782,nan,nan,16.0,nan,Hungarian Grand Prix,False,1231.09,1865.04,11
max_verstappen,red_bull,76.94,91.178,98.032,7.0,nan,Hungarian Grand Prix,False,1268.8,1926.9,11
leclerc,sauber,78.817,nan,nan,17.0,nan,Hungarian Grand Prix,False,1220.9,1852.45,11
vettel,ferrari,103.035,101.501,118.905,2.0,1.0,Belgian Grand Prix,False,1293.26,1959.46,12
hamilton,mercedes,102.977,101.553,118.179,1.0,2.0,Belgian Grand Prix,False,1340.34,2015.93,12
max_verstappen,red_bull,103.199,102.554,122.769,7.0,3.0,Belgian Grand Prix,False,1273.37,1930.33,12
bottas,mercedes,102.805,102.191,nan,19.0,4.0,Belgian Grand Prix,False,1250.52,2026.88,12
perez,force_india,104.004,103.014,121.894,4.0,5.0,Belgian Grand Prix,False,1241.51,1904.38,12
ocon,force_india,104.003,103.302,121.851,3.0,6.0,Belgian Grand Prix,False,1221.15,1902.93,12
grosjean,haas,103.597,103.042,122.122,5.0,7.0,Belgian Grand Prix,False,1199.25,1854.63,12
kevin_magnussen,haas,103.834,103.32,124.933,9.0,8.0,Belgian Grand Prix,False,1235.68,1855.74,12
gasly,toro_rosso,104.221,103.844,nan,10.0,9.0,Belgian Grand Prix,False,1207.22,1837.99,12
ericsson,sauber,103.846,104.301,nan,13.0,10.0,Belgian Grand Prix,False,1248.57,1855.34,12
sainz,renault,104.489,nan,nan,14.0,11.0,Belgian Grand Prix,False,1214.32,1888.98,12
sirotkin,williams,104.998,nan,nan,16.0,12.0,Belgian Grand Prix,False,1214.99,1824.44,12
stroll,williams,105.134,nan,nan,17.0,13.0,Belgian Grand Prix,False,1224.75,1827.47,12
brendon_hartley,toro_rosso,104.153,103.865,nan,11.0,14.0,Belgian Grand Prix,False,1201.44,1836.09,12
vandoorne,mclaren,105.307,nan,nan,18.0,15.0,Belgian Grand Prix,False,1233.62,1866.94,12
ricciardo,red_bull,103.604,103.126,122.939,8.0,nan,Belgian Grand Prix,False,1263.65,1921.13,12
raikkonen,ferrari,102.585,101.533,122.671,6.0,nan,Belgian Grand Prix,False,1297.22,1948.73,12
